name,price,depreciation,mileage,eng_cap,power,reg_date,coe_left,owners,omv,arf,accessories,new_name
BMW X1 sDrive18i,113800,18320,61122,1499,103,29-Mar-19,5.02,1,36896,43655,Factory fitted interior.,BMW X1 (2015-2022)
Nissan Sylphy 1.6A ,58500,11690,118453,1598,85,12-Sep-14,5,3,15603,10603,"Sporty Nismo full bodykit, 17"" sports rims, LED DRL, leather seats, touch screen audio system with Bluetooth, reverse camera/sensors.",Nissan Sylphy (2013-2016)
BMW 2 Series 216i Gran Tourer Luxury,148800,17200,32464,1499,80,31-Aug-21,7.44,1,35426,41597,Factory fitted interior.,BMW 2 Series Gran Tourer (2018-2022)
Honda City 1.5A SV i-VTEC,113800,14560,25000,1498,89,31-May-21,7.19,1,18150,18150,"DRL, auto head light, electric folding side mirrors, multi function steering wheel, keyless entry, rear aircon, hill start assist, wired Apple CarPlay",Honda City (2020)
Honda Vezel 1.5A G Honda Sensing,130999,14820,27500,1496,87,18-Nov-22,8.65,1,20188,5264,"Lenovo Android player with Apple CarPlay and Android Auto, LED headlights, keyless entry, reverse camera, auto tailgate, 2nd row rear aircon.",Honda Vezel (2021)
Toyota Corolla Altis 1.6A Elegance,119800,14780,12300,1598,96,30-Jul-21,7.35,1,21568,22196,Full Standard Accessories.,Toyota Corolla Altis (2020)
BMW 2 Series 218i Gran Coupe Luxury,153800,17850,22158,1499,100,27-Aug-21,7.43,1,35886,42241,Factory Fitted Interior.,BMW 2 Series Gran Coupe (2020)
Audi A3 Sedan 1.0A TFSI S-tronic,93800,15690,58500,999,85,20-Jun-19,5.24,1,22099,22939,Full Standard Accessories.,Audi A3 Sedan (2014-2021)
Renault Kadjar Diesel 1.5A dCi BOSE Edition Sunroof,55800,14450,141000,1461,81,20-Jul-17,3.32,2,27481,15474,"New paintwork. Bose sounds speaker system, auto high beam, speed limiter. Integrated 8"" TFT touchscreen infotainment systems with BT/GPS/reverse cam.",Renault Kadjar (2017-2017)
Honda Shuttle 1.5A G Honda Sensing,108800,14090,33200,1496,95,23-Sep-21,7.5,1,20745,6043,Special promotion. Free 1 paintwork of your colour choice!,Honda Shuttle (2015)
Mercedes-Benz GLB-Class GLB200 AMG Line Premium 7-Seater,239800,22750,2380,1332,120,10-Oct-23,9.55,1,37747,44846,"Digital instrument cluster and touch screen media display, Apple/Android. Wireless charging, 64 Colour Ambient Lighting, reverse camera/sensor.",Mercedes-Benz GLB-Class (2020)
Lexus NX Turbo NX300 Executive,134800,21830,84321,1998,175,10-Apr-19,5.05,2,40767,49074,"Keyless push start, front electric seats, dual climate aircon with rear aircon, navigation and auto rain sensors.",Lexus NX 300 (2015-2021)
Audi Q7 3.0A TFSI Quattro S-Line 7-Seater ,115000,32330,121000,2995,245,31-Mar-16,2.02,3,70703,99266,"Keyless entry/start/stop, 360 camera, digital cockpit, auto tailgate, auto folding rear seat, electric memory seats, 4 zone aircon, navigation.",Audi Q7 (2015-2022)
Honda Civic 1.6A VTi,59800,16780,89730,1597,92,27-Feb-17,2.93,1,20818,21146,"17"" sports rim, leather seats, touchscreen audio, reverse sensors, reverse camera, multi function steering.",Honda Civic (2016-2021)
Lexus IS Turbo IS300 Executive,111800,20920,117000,1998,180,21-Jun-18,4.25,1,38430,45802,"Sports rims, leather seats, keyless entry/start, head-up display, GPS, Bluetooth, reverse sensor/camera, electric seats, sport steering.",Lexus IS 300 (2016-2020)
Mercedes-Benz E-Class E200 NGT ,57800,11690,147200,1796,120,16-Mar-09,4.93,3,54017,32411,"Factory fitted audio system, climatic aircon, electric seats, cruise control, multi controls steering wheel.",Mercedes-Benz E-Class Saloon (2004-2009)
Mercedes-Benz A-Class A200 Style,84800,18280,57947,1595,115,7-Feb-18,3.87,2,25561,27786,"Factory fitted audio with Bluetooth/media interface, electric memory seats, parktronic, park assist, knockdown rear seaters, reverse camera/sensors.",Mercedes-Benz A-Class (2013-2018)
Toyota Estima 2.4A X ,64800,14310,150500,2362,125,3-Oct-08,4.52,5,25760,25760,"Keyless Entry/Start/Stop, Rear Aircon, Knockdown Rear Seats, Reverse Camera, Bluetooth.",Toyota Estima (2006-2010)
Toyota Harrier 2.0A Elegance Panoramic Roof,84800,18400,96000,1986,111,28-Feb-18,3.93,1,30534,24748,"Dual Climatic Aircon Controls, Electric Seats, Knockdown Rear Seats,reverse Sensor & Camera, Panoramic Sunroof.",Toyota Harrier (2014-2021)
Toyota Corolla Altis 1.6A ,63800,12750,107308,1598,90,5-Aug-14,5,2,18761,13761,"Original factory fitted audio system with Bluetooth keyless entry, start /stop, leather seats, sports rims.",Toyota Corolla Altis (2014-2019)
Toyota Harrier 2.0A Elegance Panoramic Roof,84800,18400,96000,1986,111,28-Feb-18,3.93,1,30534,24748,"Dual Climatic Aircon Controls, Electric Seats, Knockdown Rear Seats,reverse Sensor & Camera, Panoramic Sunroof.",Toyota Harrier (2014-2021)
Toyota Corolla Altis 1.6A ,63800,12750,107308,1598,90,5-Aug-14,5,2,18761,13761,"Original factory fitted audio system with Bluetooth keyless entry, start /stop, leather seats, sports rims.",Toyota Corolla Altis (2014-2019)
Honda Jazz 1.5A RS ,64800,12950,102330,1498,96,28-Jan-15,5,1,16383,6383,"Leather seat, DVD player, reverse camera and in car camera, sport rim.",Honda Jazz (2014-2021)
Toyota C-HR 1.2A Turbo Active,72800,14640,58823,1197,85,29-Mar-18,4.02,1,25647,27906,"Sport rims, leather upholstery, park assist, reverse camera, retractable side mirror, dual zone climate aircon and fog light, multi-function steering.",Toyota C-HR
Kia Carens 2.0A GDI,35500,15980,120000,1999,122,8-Oct-15,0.54,2,21159,21623,Bluetooth connect. Cruise control.climatic ac. Park assist. LED day light. Original leather interior. Rear ac vents. Fold flat rear seats and more,Kia Carens (2015-2016)
Hyundai Elantra 1.6A GLS S,43500,14870,79396,1591,93,19-Sep-16,2.49,1,12849,12849,"Premium upholstery leather seats, original 16"" sport rims, high grade solar films, factory fitted audio system, rear aircon, reverse camera/sensor.",Hyundai Elantra
Citroen Grand C4 Picasso Diesel 1.6A BlueHDi Panoramic Roof,38500,15170,118800,1560,88,20-Apr-16,2.08,1,26432,14005,Digital speedo. LED day light. All rolls aircon. Cruise control. Bluetooth. Navigation. Paddle shifters. Reverse camera. Rear seat fold flat.,Citroen Grand C4 Picasso Diesel (2014-2017)
Mercedes-Benz E-Class E200 Mild Hybrid Avantgarde,230800,23820,25931,1991,155,21-Jun-22,8.25,1,53633,68540,Factory fitted interior.,Mercedes-Benz E-Class Saloon Mild Hybrid (2020)
Audi A6 1.8A TFSI Ultra,54500,18000,118000,1798,140,29-Jan-16,0.85,2,39435,42209,"Full factory accessories full leather with electrical and memory seat. Audi MMI navi plus, Audi drive select, dual-zone climatic aircon.",Audi A6 (2011-2018)
BMW 4 Series 420i Gran Coupe Sunroof,42800,23000,100000,1997,135,30-Jan-15,0.85,3,42249,46149,M-Sport body kit. Sunroof. Electric seats. Android player with car player and reverse camera. Drive mode select. M steering and more.,BMW 4 Series Gran Coupe (2014-2020)
Volvo S60 T2,44600,14900,105500,1498,90,27-Apr-16,2.01,1,24806,26729,Digital speedo. Bluetooth connect. Park assist. Electric seats. LED day lights. Paddle shifters. Paddle shifters. Multi function steering. Auto lights,Volvo S60
Porsche Cayenne 3.6A Tip ,182800,18270,120000,3598,220,27-Jun-14,10,4,79909,115837,"Keyless Entry/Start/Stop, Paddle Shifter, Auto Headlight, Driver's Electric Seat, Knockdown Rear Seats, Electric Tailgate, Bluetooth.",Porsche Cayenne
Infiniti Q60 Coupe 2.0A T,90800,20800,99000,1991,155,30-Jun-17,3.27,2,38231,45524,360 degree camera park assist. Electric seats. Bluetooth with navi. Drive mode select. Adaptive steering. Paddle shifters. Anti collision. Sunroof.,Infiniti Q60 (2017-2021)
Audi Q5 Mild Hybrid 2.0A TFSI Quattro S-tronic,235800,23630,23880,1984,183,24-Feb-23,8.92,1,40832,49581,"Agent unit, vehicle in showroom condition, trade in welcome, call now don't miss.",Audi Q5 (2017-2021)
Skoda Karoq 1.4A TSI Ambition,126999,15760,38000,1395,110,29-Jun-21,7.27,2,23474,24864,"Auto LED Headlights W DRL, Keyless Entry & Engine Start/stop, Reverse Camera W Sensors, Carplay, Wireless Phone Charging, Front Assist.",SKODA Karoq (2018-2022)
Infiniti Q50 3.0T Red Sport 400,88800,22160,86000,2997,298,30-Dec-16,2.77,2,44787,54702,6/2 brake kit. Works rims. Adaptive suspension. Drive mode select. Dual media screen. Lane departure with active cruise control. Paddle shift.,Infiniti Q50 (2014-2021)
Honda HR-V 1.5A LX,50800,15130,105500,1496,96,29-Nov-16,2.68,1,23772,20281,Bluetooth with reverse camera. Cruise control. Digital climatic aircon. ISOFIX ready. City brake active system. Paddle shift.,Honda HR-V (2015-2021)
Citroen Grand C4 Picasso Diesel 1.6A BlueHDi Panoramic Roof,32800,15300,142000,1560,88,27-Nov-15,0.68,1,26508,14112,Digital speedo. LED day light. All rolls aircon. Cruise control. Bluetooth. Navigation. Paddle shifters. Reverse camera. Rear seat fold flat.,Citroen Grand C4 Picasso Diesel (2014-2017)
BMW 2 Series 216i Gran Tourer Luxury,85800,16040,95000,1499,75,28-Jun-18,4.26,2,30479,34671,"Luxury highest spec model, Auto LED/DRL headlight, Auto/kick tailgate. Park assist with camera, Ambient Lighting, 2 x Electric seats. Rear ac.",BMW 2 Series Gran Tourer
Honda Civic 1.6A VTi ,54300,12430,130803,1595,92,4-Aug-08,4.37,1,18655,18655,"Leather Upholstery,sports Rims, Pioneer Touch Screen Audio System, Reverse Camera And Sensors.",Honda Civic (2006-2012)
Mercedes-Benz A-Class A200 Style,66800,19060,130000,1595,115,1-Mar-17,2.93,1,24675,21545,Park assist. Reverse camera. Bluetooth connect. Climatic aircon. Paddle shifters. Cruise control. Multi function steering. Start/stop function.,Mercedes-Benz A-Class (2013-2018)
Mazda 3 1.5A Deluxe Sunroof,44000,15360,88620,1496,88,24-Aug-16,2.42,2,18622,13622,Sunroof. Electric seats.Headlight display.Bluetooth connect with navigation. HID LED headlights.Original leather interior.Climatic digital ac and more,Mazda 3 Sedan (2014-2019)
SEAT Tarraco 1.4A TSI DSG Xcellence 7-Seater Sunroof,160800,17940,15726,1395,110,31-Dec-21,7.77,2,36114,42560,Adaptive cruise control. Anti collison. Drive mode select. Paddle shifters. Virtual pedal. Electric tailgate. Top view camera. Pano/sun roof.,SEAT Tarraco (2019-2023)
BMW X1 sDrive18i,121988,17960,59446,1499,103,18-Oct-19,5.57,2,36901,43662,"BMW iDrive, Bluetooth, driver seat with memory, kickboot, front and back PDC with rear camera, adjustable rear seats, 17"" sports rims.",BMW X1 (2015-2022)
BMW 2 Series 218i Gran Tourer,97700,18980,67643,1499,100,27-Apr-18,4.01,2,34147,39806,"Electric memory seat, sports rims, rear aircon, knockdown rear seat, fog light.",BMW 2 Series Gran Tourer
Mazda 3 HB 2.0A Sport Sunroof,36500,16070,106000,1998,121,30-Nov-15,0.69,2,18670,18670,Sunroof. Electric seats.Headlight display.Bluetooth connect with navigation.HID LED headlights.Original leather interior.Climatic digital AC and more.,Mazda 3 Hatchback (2014-2019)
Porsche Macan 2.0A PDK Panoramic Roof ,205800,20570,65200,1984,174,6-Feb-15,10,2,61901,83422,Sunroof. Option spider rims. Electric seats. Paddle shifters. Bluetooth connect. Drive mode select. Auto tailgate. Electric steering adjust and more.,Porsche Macan
BMW 3 Series 318i ,73000,13620,140000,1995,100,11-Mar-10,5.36,6,30274,30274,"Electronic memory leather seats, sports rims. Rain sensing wipers, multi function steering, reverse sensor, auto headlight. Keyless entry/start.",BMW 3 Series Sedan (2005-2012)
Hyundai Ioniq Hybrid 1.6A DCT Sunroof,104800,14900,55489,1580,96,13-Jul-20,6.3,2,28270,21578,"Leather/electric/memory/knockdown seat, blind spot assist, retractable side mirror, Bluetooth, reverse camera/sensors, multi function steering wheel.",Hyundai Ioniq Hybrid (2017-2023)
Mitsubishi ASX 2.0A,20800,16860,140000,1998,110,5-Jan-15,0.79,1,14990,14990,"One owner, road tax to end of COE. Original condition. Accident free.",Mitsubishi ASX (2014-2017)
Mercedes-Benz C-Class C180K ,69000,13500,260000,1597,115,26-Oct-09,5.02,1,36990,36990,"Factory fitted audio with reverse camera, multi function steering, 6 airbags, retractable side mirrors, fog lights, auto headlights.",Mercedes-Benz C-Class Saloon (2002-2006)
BMW 3 Series 318i Shadow Edition,86000,19060,59840,1499,100,3-Nov-17,3.61,2,33671,34140,"LED digital speedo meter, headlight and fog light, 18"" sports rims, sport leather seats, keyless entry.",BMW 318i
BMW 5 Series 520i,108800,21100,83000,1998,135,26-Dec-17,3.76,1,47763,58869,"BMW touch command, GPS, soft closing, connected drive, auto adaptive LED/DRL headlight, 18"" s/rims, wireless charging, 360 view camera, auto/kick boot",BMW 5 Series Sedan (2017-2020)
Toyota Supra 2.0A SZ-R,225000,28460,31845,1998,190,22-Dec-20,6.75,3,52012,65622,"Keyless, 18"" rims, dual chrome exhaust pipe finisher, 8.8"" Toyota touch multimedia system, dual zone automatic air conditioning, paddle shifts",Toyota GR Supra (2019)
Volvo XC40 T5 R-Design,177900,21140,30000,1969,185,25-Oct-21,7.59,1,30493,34691,"9"" Touchscreen Display With Apple CarPlay/Android Auto, Panoramic Sunroof,Wireless Charging,Navigation,Electric Tailgate, 19 inch alloy wheels",Volvo XC40 (2018-2021)
Volkswagen Sportsvan 1.4A TSI Comfortline,41800,14200,110000,1395,92,15-Jul-16,2.31,2,22079,17911,"Sports rims, leather seats, rear air conditioning, factory informant system.",Volkswagen Golf (2012-2021)
BMW 2 Series 218i Active Tourer,26500,20600,101000,1499,100,29-Dec-14,0.77,2,28057,21280,Park assist. Bluetooth connect. LED HID headlights. Interior ambient lighting. Electric seats. Climatic AC. Auto tailgate. Cruise control and more,BMW 2 Series Active Tourer (2014-2021)
Renault Megane Sedan 1.2A Privilege TCe,57800,13940,103000,1197,97,31-Oct-17,3.61,1,19990,14990,touch screen media with reverse camera/Bluetooth/navigation.park assist. sports drive mode. LED headlights and more.,Renault Megane Sedan (2017-2018)
Mercedes-Benz C-Class C200 Avantgarde,83800,21220,110000,1991,135,3-Feb-17,2.86,2,42032,45845,Well kept condition. Servicing maintained by reputable workshop with servicing records. Trade in welcome. Flexible financing available. Viewing by appointment. Don't miss out this unit. Call now for an appointment.,Mercedes-Benz C-Class Saloon (2014-2018)
Renault Megane GT 1.6A TCe,90800,15380,71000,1618,151,30-Mar-19,5.02,2,25065,27091,LED active headlights. RS leather sport seats. Paddle shifters. Drive mode select. RS drive mode. RS meter. Touch screen media and more.,Renault Megane GT (2017-2020)
Toyota Alphard 2.4A Moonroof ,102388,14910,183207,2362,125,15-Feb-11,6.86,6,44006,44006,"19"" sports rim, leather seats, 13"" rear mount Netflix tv, Android player with reverse camera, reverse sensor, hid headlight, retractable side mirror",Toyota Alphard (2009-2015)
Porsche Cayenne 3.0A Tip,259888,41160,80000,2995,250,28-Dec-18,4.76,2,86169,127105,"21"" rims, Soft close door, park assist includes surround view, Bluetooth interface, navi, cruise control, LED headlight.",Porsche Cayenne (2018)
BMW X4 xDrive28i Sunroof,61800,23770,134405,1997,180,26-Jun-15,0.26,3,50932,63678,"Lowest asking depreciation on the market! Well maintained unit, shiny and polished exterior, clean and tidy interior. Pre-purchase inspection most welcome for an additional peace of mind. Viewing is by appointment only please, thank you!",BMW X4
Subaru XV 2.0i-S EyeSight,72800,14550,100000,1995,115,25-Aug-18,4.42,2,16790,16790,"Reverse camera/sensors, factory fitted audio with audio steering control, Bluetooth, retractable side mirrors.",Subaru XV (2017-2023)
Audi A4 1.8A TFSI MU Attraction,39800,15190,160000,1798,125,30-Nov-15,0.69,1,29466,28253,"Rare one owner unit! Serviced at renowned Audi workshop. Drive with peace of mind and confidence! Full loan available, high approval rates! Pre purchase inspections most welcome. Viewing is by appointment only please, thank you.",Audi A4 (2005-2007)
BMW 6 Series 630i Gran Turismo M-Sport Sunroof,198800,26330,53700,1998,190,31-Jan-20,5.86,1,64914,88846,M-Sport. Huge cabin. Electric passenger seats. Multi-control steering with paddle shift. Head-up display. Sunroof. Keyless access. Soft-close doors.,BMW 630i
Hyundai Santa Fe 2.4A GDI Sunroof,114800,19670,95000,2359,136,19-Dec-18,4.74,1,36347,42886,Multi function steering. Touch screen navigation. Factory stereo. Alloy rims. Black leather upholstery. Auto tailgate for convenience.,Hyundai Santa Fe
Mercedes-Benz C-Class C180 Mild Hybrid Avantgarde,199800,21860,46000,1496,140,13-Apr-22,8.06,1,39388,47144,"Full digital 12.3"" instrument display, 11.9"" MBUX touchscreen infotainment, wireless Apple CarPlay/Android Auto,64 ambient lights, wireless charging.",Mercedes-Benz C-Class Saloon Mild Hybrid (2022)
Mazda 3 1.5A Deluxe Sunroof ,59800,11950,105000,1496,88,15-Sep-14,5,1,18447,8447,"LED DRL With HID Headlamp, Factory Audio With Navigation/Bluetooth/reverse Camera, Driver Electrical Seats, Electrical Folding Mirror, Etc.",Mazda 3 Sedan (2014-2019)
Lexus ES250 Luxury Sunroof,67000,18820,117000,2494,135,23-Jun-16,2.25,3,40884,49238,Panaromic Sunroof And Moonroof. Ventilated Front Seats. Easy Entry Seats And Steering Wheel. Rear Seat Controls. Reverse Camera And Sensors.,Lexus ES 250 (2013-2018)
BMW X3 sDrive20i,50800,20810,115600,1997,135,30-Sep-15,0.52,3,32995,38193,"Maintained at PML until 2022! Almost full agent service records available to date. Well maintained condition, paintwork polished & shiny, clean & tidy interior. Pre-purchase inspection most welcome for an additional peace of mind. Viewing is by appointment only please, thank you.",BMW X3 (2011-2017)
BMW 3 Series 320i Highline,158800,20200,73900,1998,135,28-Aug-20,6.43,1,46843,57581,"Sport rims, Apple CarPlay. Cruise control with brake function, auto rain and light sensors, driving assistance, auto tailgate. BMW card key.",BMW 3 Series Sedan (2019)
Kia Stinger 2.0A Sunroof,151800,21110,70891,1998,182,30-Jun-20,6.27,1,33343,38681,"19"" sport rims, leather upholstery, head up display, Bluetooth with CarPlay, reverse camera/sensor.",Kia Stinger (2018-2022)
Subaru Levorg 1.6A GT-S,57800,16450,93469,1600,125,17-Oct-16,2.57,3,27893,31051,"Sunroof, Electric Leather Seats, Sports Rims, Alpine DVD Player With Reverse Camera, 3M Solar Film, Sound Proofing, Approved HKS Exhaust/Coilover.",Subaru Levorg (2015-2020)
BMW 3 Series 316i ,125800,12570,45000,1598,100,31-Mar-14,10,2,35841,32178,"Original Factory Fitted Leather Seats, Sports Rims, Audio System, IDrive With Bluetooth, Reverse Sensors, Multi Function Steering Wheel",BMW 3 Series Sedan (2012-2019)
Toyota Corolla Altis 1.6A,47900,15000,80200,1598,90,26-Oct-16,2.59,2,17982,17982,"Leather seats, sports rims, factory fitted audio system, Bluetooth.",Toyota Corolla Altis (2014-2019)
Nissan X-Trail 2.0A Premium 7-Seater Sunroof,103800,18800,48600,1997,106,18-Jan-19,4.82,2,24339,26075,"Factory fitted infotainment system, navigation system, reverse camera, electric seats, hill descent, roof rails, electric tailgate, Sunroof.",Nissan X-Trail (2014-2021)
Honda City 1.5A i-VTEC ,26800,14510,146886,1497,88,26-Jan-11,0.84,3,16745,16745,"Original condition! Well maintained for its age. Smooth transmission, powerful and responsive engine. Great value sedan, easy to maintain. Full loan available at only $1230/month with fast and easy approvals. Viewing is by appointment only please, thank you.",Honda City (2008-2014)
Volkswagen Tiguan 1.4A TSI BMT,48800,16100,107407,1390,118,22-Apr-16,2.08,3,27534,30548,"Lowest asking depreciation on the market! Well kept condition, shiny and polished paintwork, clean and tidy interior. Great condition mechanically, no funny sounds. Engine and gearbox smooth and powerful. Pre-purchase checks available for an added peace of mind. Viewing is by appointment only please, thank you.",Volkswagen Tiguan (2008-2011)
Volvo S60 2.0T ,42800,9820,130000,1984,132,31-Jul-08,4.36,4,35244,35244,"Original condition! Beautifully maintained, exterior shiny and polished, interior is clean and tidy. No funny sounds, engine and transmission smooth. Full loan available at only $1025/month. Viewing is by appointment only please, thank you.",Volvo S60 (2004-2009)
Nissan Sylphy 1.6A Premium,37800,13620,80000,1598,85,20-May-16,2.07,2,16807,16807,"Sports Rims, Leather Seats, Factory Fitted Audio System With Steering Controls, Reverse Sensors/Camera, Solar Film, In-Car Cameras.",Nissan Sylphy (2013-2016)
Skoda Karoq 1.5A TSI Style,94800,16860,53000,1498,110,27-Dec-18,4.76,1,26324,28854,"Full agent serviced for a peace of mind. Agent or workshop inspection most welcome for sincere buyers. Flexible loan options to cater to all budgets. Best value luxury SUV for buyers that prioritise practicality and comfort. Viewing is by appointment only please, thank you.",SKODA Karoq (2018-2022)
Honda Jazz 1.5M ,68800,11450,230000,1497,88,26-Mar-10,6.01,3,21360,21360,"HKS Exhaust system, ZerOne coilovers. Upgraded Android Player. Oz 15"" Rims.",Honda Jazz (2008-2014)
BMW X1 sDrive20i,63900,17870,106000,1998,141,30-Sep-16,2.52,3,32595,37633,"Front large touch screen monitor with GPS & youtube capabilities & reverse camera. Key alarm, reverse sensors, black alloy rims, leather upholstery.",BMW X1 (2015-2022)
Honda CR-V 2.4A Sunroof,43888,17870,88000,2354,140,29-Sep-15,0.52,1,29593,33431,"Premium upholstery leather, upgraded 17"" sport rims, factory fitted audio system, high grade solar films, reverse sensor/camera, spacious boot space.",Honda CR-V (2012-2017)
BMW X4 xDrive30i M-Sport,216800,26980,83334,1998,185,19-Oct-20,6.57,2,59276,78697,"Apple CarPlay, Android Auto, lane departure warning, leather steering wheel, reverse camera, electric brake, keyless start/stop/entry, rear aircon.",BMW X4
Peugeot 5008 Diesel 1.6A BlueHDi EAT6 Sunroof,42800,13580,100000,1560,88,24-Oct-16,2.58,1,23764,15270,"100% original condition, as per Peugeot factory specifications!",Peugeot 5008 Diesel (2014-2016)
Nissan Qashqai 1.2A DIG-T,29000,14130,104500,1197,85,20-Oct-15,0.57,3,18413,13413,New sports rims & Falken tyres. Factory fitted audio system. Bluetooth. Cruise controls. Reverse camera. Front/rear sensors. Keyless entry/start.,Nissan Qashqai (2014-2020)
Subaru Outback 2.5i-S Sunroof,47800,14270,124348,2498,129,9-Sep-16,2.46,1,23721,25210,"Spacious and Sporty SUV for sales. Lowest depreciation in the market. Well maintained mechanically, no funny sounds in cabin. Pre-purchase inspection welcome for a peace of mind. Viewing is by appointment only please, thank you.",Subaru Outback (2015-2021)
Kia Sorento Diesel 2.2A CRDi,52800,15960,120000,2199,147,17-Jun-16,2.24,1,30166,34233,"Agent unit! Extremely spacious and comfortable 7 seaters. Well groomed and polished paintwork, clean and tidy interior. Pre-purchase checks welcome for an added peace of mind. Flexible financing options, full loan is available with high approval rates. Viewing is by appointment only please, thank you.",Kia Sorento Diesel (2015-2021)
Volkswagen Golf Cabriolet 1.4A TSI ,107800,10770,66425,1390,118,30-Apr-14,10,2,35593,36831,Original genuine leather upholstery. Reversing camera/sensors. Multi function steering wheel.,Volkswagen Golf GTI (2003-2009)
Honda Fit 1.3A G ,49800,11330,136000,1339,73,14-Aug-08,4.39,5,11799,12979,"Leather seats, reverse sensors, knockdown rear seats, upgraded CD player.",Honda Fit (2008-2013)
Audi A4 1.4A TFSI S-tronic,50500,16990,105000,1395,110,28-Apr-16,2.01,1,34065,29691,"Audi MMI with Bluetooth, multi function steering with paddle shifter, electric leather seats, reverse camera/sensors, rear climatic aircon.",Audi A4 Sedan (2016-2020)
MINI Cooper Countryman 1.6A ,63300,12650,88000,1598,88,25-Feb-14,5,2,25249,27349,"Sports rims, multi function steering, radio system, auto headlights.",MINI Cooper Countryman (2011-2015)
Citroen DS3 1.6A VTI ,28000,10860,120000,1598,88,20-Oct-11,2.57,2,19963,19963,1 Owner all along! Full Agent Serviced Pass 10 Year! All Service Wear And Tear Done Up With Record Proven! Genuine Low Mileage! Immediate transfer of ownership upon collection! Trade in available. View to believe it. Viewing strictly via appointment only.,Citroen DS3 (2010-2015)
Toyota Camry Hybrid 2.5A Ascent Sport,138800,18910,34000,2487,160,27-Oct-20,6.59,1,32802,27923,"Original factory fitted media player, factory fitted fabric seats, rear aircon, reverse camera and sensors. Apple Carplay/Android Auto.",Toyota Camry Hybrid
Mercedes-Benz E-Class E200 Avantgarde,94800,23340,90000,1991,135,16-Nov-16,2.65,1,52106,65791,"An eye catcher with redesigned front and tail lamps, broad shoulders. Discover a sporty, exclusive design like you've never seen before.",Mercedes-Benz E200
MINI John Cooper Works 2.0A Sunroof,68800,31650,83300,1998,170,20-Nov-15,0.66,2,32369,32317,"LCI digital cluster, Android/Carplay module. Rare JCW unit! Full options with JCW seats! View the car to appreciate.",MINI John
Volkswagen Jetta GP 1.4A TSI Trendline,58888,19450,120000,1390,90,28-Oct-16,2.6,3,16656,16656,"Carbon interior, Ori PF07 w re004, strengthened chassis, GTI 7R Steering & Brake Kit, MTS Technik coilover, MST intake, Bastuck exhaust w cert & more.",Volkswagen Jetta (2011-2017)
Volkswagen Scirocco 1.4A TSI ,24000,14150,147000,1390,118,2-Dec-10,0.69,6,24809,24809,"BCV1, CF cup spoiler, TE37, CTS intake, forge bov, Jetex exhaust, r bodykit, CF gear knob, JBL speakers.",Volkswagen Scirocco (2009-2017)
Opel Zafira Grand Tourer 1.4A Turbo,89800,13860,86000,1364,103,7-Oct-19,5.54,1,24239,25935,Full Original Opel Sports Luxury Accessories! Reach Out To Our Sales Person For More!,Opel Zafira Grand Tourer (2012-2020)
BMW X1 sDrive18i,121800,17930,81000,1499,103,18-Oct-19,5.57,1,36901,43662,"Auto LED headlights. LED DRL. Keyless entry/start. Navigation, front and rear sensors with camera. Front electric seats driver memory, auto tailgate.",BMW X1 (2015-2022)
BMW 2 Series 216d Gran Tourer Luxury,44800,18480,106600,1496,85,19-Dec-15,0.74,1,30843,25181,"Factory fitted audio system with Bluetooth/navi, BMW in car camera, reverse camera, contactless boot release tailgate, memory seats.",BMW 2 Series Gran Tourer Diesel (2015-2017)
Mitsubishi Outlander 2.4A Sunroof,38800,14830,110000,2360,123,29-Jan-16,0.85,2,21859,22603,Driver electric seats.Electric parking brake.Multi zone aircon. Leather seats. Halogen headlights.Paddle shifters.Auto fold mirrors.,Mitsubishi Outlander (2014-2015)
Honda Stream 1.8A X ,55800,12550,116000,1799,103,2-Sep-08,4.44,2,17513,17513,"sports rims, Android player with reverse camera, reverse sensors, knockdown rear seats, front and rear recorder camera, door visor.",Honda Stream (2007-2014)
MINI Cooper S 1.6A Sunroof ,115800,12590,119960,1598,135,10-Dec-13,9.19,3,29879,28831,"Reverse camera, Apple CarPlay, auto headlights, multi functional steering wheel, leather seats, retractable Sunroof, union jack tail lamp, lufi gauge.",MINI Cooper S (2007-2014)
Honda Jazz 1.3A,80800,13580,35000,1318,73,5-Dec-19,5.7,1,16573,6573,"Sport rims, leather seat, factory fitted audio system with Bluetooth, electric folding side mirrors, knockdown rear seats, reverse sensors and camera.",Honda Jazz (2014-2021)
Nissan Note 1.2A,55900,12260,47500,1198,58,30-Jul-18,4.35,2,13305,5000,"Front screen monitor with reverse camera & GPS maps, reverse sensors,15"" alloy rims, factory fitted full skirtings & Rear Spoiler, leather upholstery.",Nissan Note (2013-2020)
Opel Insignia Grandsport Diesel 1.6A Turbo,93800,12010,158063,1598,100,12-Nov-20,6.64,1,25722,28011,"Leather Seats, Keyless Start/stop, Rear Aircon, Android/Apple CarPlay, Lane Keeping Assist.",Opel Insignia Grand Sport (2018-2022)
Porsche Macan GTS 3.0A PDK,175777,48430,94000,2997,265,9-Jun-16,2.21,3,91729,137113,"Original LED Headlamp With PDLS+, Red Contrast Stitching, GTS Logo Embroidery On All Headrests, 360 Surround Camera, Bose Sound System, Navi And More!",Porsche Macan
Honda City 1.5M VTEC ,55800,11180,125000,1497,88,18-Mar-09,4.98,2,18475,18475,"Sports rims, leather seats, reverse sensors, knockdown rear seats, DVD player.",Honda City (2008-2014)
